Codigo,Descricao,Unidade,Icms,Tributacao,Categoria,Ncm,Ean,CstPisS,CstCofinsS,CstIpiS,CstIcmsS,CstPisE,CstCofinsE,CstIpiE,CstIcmsE,IncPisCof,TabPis,TabPis,TabPis,TabCof,TabCof,Tab Cof,Cest
1663,SALSA,UN,0,I,A,07051900,0,6,6,00,040,73,73,0,40,N,Z,3413,116,Z,3413,116,0
42222,SALSA A,KG,0,I,A,07051900,0,6,6,00,040,73,73,49,40,N,Z,3413,116,Z,3413,116,0
41065,SALSA AC,KG,0,I,A,07051900,0,6,6,00,040,73,73,49,40,N,Z,3413,116,Z,3413,116,0
16803,SALSA CRESPA,UN,0,I,A,07051900,0,6,6,00,040,73,73,0,40,N,Z,3413,116,Z,3413,116,0
5241,SALSA DESIDRATADA,KG,18,B,A,21039021,0,1,1,053,000,50,50,49,0,S,,,0,,,0,1703500
1656,SALSAO,UN,0,I,A,07094000,0,6,6,00,040,73,73,49,40,N,Z,3413,116,Z,3413,116,0
